China Cat Sunflower	4	2024-09-26 – Alexandra Palace Theatre, London – Dark Star Orchestra ; 2023-08-18 – The Rooftop at Pier 17, New York – Billy & the Kids ; 2025-06-20 – Crown & Sceptre, Streatham, London – Crown & Sceptre jam ; 2025-06-21 – Royal Albert Hall, London – Bob Weir and Wolf Bros.
Drums	4	2024-09-27 – Alexandra Palace Theatre, London – Dark Star Orchestra ; 2023-08-18 – The Rooftop at Pier 17, New York – Billy & the Kids ; 2025-06-20 – Crown & Sceptre, Streatham, London – Crown & Sceptre jam ; 2025-07-12 – Playing on the Farm, Gloucestershire – Playing on the Farm band
Uncle John's Band	4	2024-09-27 – Alexandra Palace Theatre, London – Dark Star Orchestra ; 2023-08-18 – The Rooftop at Pier 17, New York – Billy & the Kids ; 2025-07-12 – Playing on the Farm, Gloucestershire – Playing on the Farm band ; 2025-07-12 – Playing on the Farm, Gloucestershire – Playing on the Farm band
Brokedown Palace	3	2024-09-27 – Alexandra Palace Theatre, London – Dark Star Orchestra ; 2025-07-12 – Playing on the Farm, Gloucestershire – Playing on the Farm band ; 2025-06-21 – Royal Albert Hall, London – Bob Weir and Wolf Bros.
I Know You Rider	3	2024-09-26 – Alexandra Palace Theatre, London – Dark Star Orchestra ; 2025-06-20 – Crown & Sceptre, Streatham, London – Crown & Sceptre jam ; 2025-06-21 – Royal Albert Hall, London – Bob Weir and Wolf Bros.
Space	3	2024-09-27 – Alexandra Palace Theatre, London – Dark Star Orchestra ; 2023-08-18 – The Rooftop at Pier 17, New York – Billy & the Kids ; 2025-07-12 – Playing on the Farm, Gloucestershire – Playing on the Farm band
Truckin'	3	2023-08-18 – The Rooftop at Pier 17, New York – Billy & the Kids ; 2025-06-20 – Crown & Sceptre, Streatham, London – Crown & Sceptre jam ; 2025-06-21 – Royal Albert Hall, London – Bob Weir and Wolf Bros.
Beat It on Down the Line	2	2024-09-26 – Alexandra Palace Theatre, London – Dark Star Orchestra ; 2025-07-12 – Playing on the Farm, Gloucestershire – Playing on the Farm band
Bird Song	2	2024-09-27 – Alexandra Palace Theatre, London – Dark Star Orchestra ; 2023-08-18 – The Rooftop at Pier 17, New York – Billy & the Kids
Black-Throated Wind	2	2024-09-26 – Alexandra Palace Theatre, London – Dark Star Orchestra ; 2025-06-20 – Crown & Sceptre, Streatham, London – Crown & Sceptre jam
Candyman	2	2023-08-18 – The Rooftop at Pier 17, New York – Billy & the Kids ; 2025-06-20 – Crown & Sceptre, Streatham, London – Crown & Sceptre jam
China Doll	2	2024-09-27 – Alexandra Palace Theatre, London – Dark Star Orchestra ; 2025-07-12 – Playing on the Farm, Gloucestershire – Playing on the Farm band
Cumberland Blues	2	2024-09-27 – Alexandra Palace Theatre, London – Dark Star Orchestra ; 2023-08-18 – The Rooftop at Pier 17, New York – Billy & the Kids
Franklin's Tower	2	2023-08-18 – The Rooftop at Pier 17, New York – Billy & the Kids ; 2025-07-12 – Playing on the Farm, Gloucestershire – Playing on the Farm band
Hell in a Bucket	2	2024-09-27 – Alexandra Palace Theatre, London – Dark Star Orchestra ; 2025-06-21 – Royal Albert Hall, London – Bob Weir and Wolf Bros.
Jack Straw	2	2024-09-27 – Alexandra Palace Theatre, London – Dark Star Orchestra ; 2025-06-21 – Royal Albert Hall, London – Bob Weir and Wolf Bros.
Morning Dew	2	2024-09-26 – Alexandra Palace Theatre, London – Dark Star Orchestra ; 2025-06-20 – Crown & Sceptre, Streatham, London – Crown & Sceptre jam
